Protein.Group,Protein.Names,Genes,First.Protein.Description,N.Sequences,N.Proteotypic.Sequences,LFQ Intensity FASP_8M_1.raw,LFQ Intensity FASP_8M_2.raw,LFQ Intensity FASP_8M_3.raw,LFQ Intensity Control_1.raw,LFQ Intensity Gel_1.raw,LFQ Intensity FASP_Pellet_1.raw,LFQ Intensity SN_1.raw,LFQ Intensity Control_2.raw,LFQ Intensity Gel_2.raw,LFQ Intensity FASP_Pellet_2.raw,LFQ Intensity SN_2.raw,LFQ Intensity Control_3.raw,LFQ Intensity Gel_3.raw,LFQ Intensity FASP_Pellet_3.raw,LFQ Intensity SN_3.raw,LFQ Intensity Pelletpellet_1.raw,LFQ Intensity Pelletpellet_2.raw,LFQ Intensity Pelletpellet_3.raw,LFQ Intensity Pellet_1.raw,LFQ Intensity Pellet_2.raw,LFQ Intensity Pellet_3.raw,LFQ Intensity DRG_Pelletpellet.raw,LFQ Intensity DRG8M.raw,LFQ Intensity DRG_Pellet.raw,LFQ Intensity DRG_Sample.raw,LFQ Intensity DRG_SN.raw,LFQ Intensity Kidney_Pelletpellet.raw,LFQ Intensity Kidney_Pellet.raw,LFQ Intensity Kidney_Sample.raw,LFQ Intensity Kidney_SN.raw,LFQ Intensity Lung8M.raw,LFQ Intensity FASP_SDS_1.raw,LFQ Intensity FASP_SDS_2.raw,LFQ Intensity FASP_SDS_3.raw,LFQ Intensity Skin8M.raw,LFQ Intensity Testes_Pelletpellet.raw,LFQ Intensity Testes_Pellet.raw,LFQ Intensity Testes_Sample.raw,LFQ Intensity Testes_SN.raw,LFQ Intensity TRPA1_gel.raw,LFQ Intensity TRPA1_Xeno.raw,LFQ Intensity TRPV1_gel.raw,LFQ Intensity TRPV1_Xeno.raw
P61294,RAB6B_MOUSE,Rab6b,Ras-related protein Rab-6B,18,8,1.56E+06,1.12E+06,1.54E+06,3.75E+06,,3.25E+06,1.26E+06,3.29E+06,,4.59E+06,1.46E+06,4.65E+06,,2.05E+06,1.34E+06,654140,685680,771396,670788,788386,503096,,2.22E+06,347905,619679,741391,,693158,169061,1.85E+06,1.26E+06,,,,,,,662512,3.60E+06,,,559065,
D3YV69,D3YV69_MOUSE,Rab6a,Ras-related protein Rab-6B,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181790,223500,,,,,,,,98688.7,,,,
P35279,RAB6A_MOUSE,Rab6a,Ras-related protein Rab-6A,8,8,963682,515037,751322,1.64E+06,,1.24E+06,414916,1.36E+06,,1.72E+06,681544,1.61E+06,,1.90E+06,583491,604861,571131,577641,467224,278125,268123,396518,2.30E+06,310198,1.19E+06,716863,,703602,390386,2.05E+06,1.14E+06,,,979364,,191475,729038,482799,4.02E+06,,,519343,
P35278,RAB5C_MOUSE,Rab5c,Ras-related protein Rab-5C,16,9,2.65E+06,1.76E+06,3.16E+06,4.83E+06,,3.07E+06,1.36E+06,4.20E+06,,3.25E+06,1.31E+06,5.59E+06,,1.45E+06,1.08E+06,405651,419825,426267,654046,666998,963464,420059,3.66E+06,2.29E+06,1.17E+06,1.29E+06,,1.25E+06,1.85E+06,9.69E+06,2.79E+06,,,1.32E+06,1.66E+06,608238,1.07E+06,1.14E+06,5.13E+06,,2.48E+06,1.88E+06,
P61021,RAB5B_MOUSE,Rab5b,Ras-related protein Rab-5B,7,7,306236,146129,317208,1.58E+06,,986871,475992,1.22E+06,,800187,574822,1.57E+06,,834830,486274,147923,165079,383045,363569,425407,338902,,627730,509028,880667,2.03E+06,,557828,559220,1.88E+06,780187,,,,245691,160560,445546,329032,1.48E+06,,470531,552304,
Q9CQD1,RAB5A_MOUSE,Rab5a,Ras-related protein Rab-5A,7,7,1.26E+06,712134,1.28E+06,2.93E+06,,1.37E+06,877257,2.14E+06,,953334,780354,3.31E+06,,584571,532013,114131,250801,384676,323260,259135,132929,,1.86E+06,799010,,,,266632,553936,1.73E+06,823254,366147,,,,,,346080,1.32E+06,,1.55E+06,1.54E+06,
Q91ZR1,RAB4B_MOUSE,Rab4b,Ras-related protein Rab-4B,14,12,338704,229888,,904453,,618698,329710,794417,,687451,296338,1.05E+06,,637399,260820,,,191730,,,67941.5,,543951,,,310592,,,,403053,313020,,,,,101726,,433757,1.91E+06,,592617,,
P56371,RAB4A_MOUSE,Rab4a,Ras-related protein Rab-4A,9,9,,86905.6,,563287,,340928,132987,430872,,458126,147441,661462,,274846,110164,,,,,,,,122907,,,,,,,365375,79159.7,,,,,,,,364327,,165473,314000,
Q8CG50,RAB43_MOUSE,Rab43,Ras-related protein Rab-43,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148186,,,,
A0A1W2P7K6,A0A1W2P7K6_MOUSE,Rab3ip,RAB3A interacting protein,10,10,,,,,,33699.8,,,,35846.1,,10253.8,,31241.2,,17360.9,,,,,,,,56580.7,,,,,83461,54777.4,,,,,,120104,,44106.6,18323.1,,,,
Q8VDV3,R3GEF_MOUSE,Rab3il1,Guanine nucleotide exchange factor for Rab-3A,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30208.2,,,,,,,
E9QKE4,E9QKE4_MOUSE,Rab3gap2,RAB3 GTPase activating protein subunit 2,38,38,197879,112504,,273584,829911,297734,114606,259570,287201,264259,125772,261327,,284003,137888,,,,,,,,207751,,186908,,,,,130319,122843,,,,,,,118996,354304,,,,
A0A1D5RLG3,A0A1D5RLG3_MOUSE,Rab3gap1,Rab3 GTPase-activating protein catalytic subunit,32,32,,,,151736,974756,252557,101901,222465,957401,221485,149184,203497,907594,288421,94597.5,,,,,,,,228142,,,,,,,85223.5,,,,,,,,56731.5,295781,,,,
P35276,RAB3D_MOUSE,Rab3d,Ras-related protein Rab-3D,1,1,,,,,,65521.8,,,,,,,,,,,,,,,,,,,,,,,,,349209,,,,,,,,254653,,,,
P62823,RAB3C_MOUSE,Rab3c,Ras-related protein Rab-3C,15,11,5.67E+06,4.13E+06,4.08E+06,1.15E+07,2.88E+06,4.60E+06,2.62E+06,1.70E+07,2.29E+06,4.18E+06,2.49E+06,1.76E+07,1.75E+06,2.98E+06,2.04E+06,827178,917452,930451,1.18E+06,758652,1.80E+06,,1.69E+06,,3.07E+06,1.45E+06,,490915,,1.54E+06,957291,1.65E+06,,,,,,481621,1.66E+06,,,,
Q9CZT8,RAB3B_MOUSE,Rab3b,Ras-related protein Rab-3B,10,9,721597,498227,,1.89E+06,542615,1.83E+06,462083,1.73E+06,498433,1.39E+06,314056,1.55E+06,359953,409282,281240,,97285.8,,,203449,603889,,,,,,,,,,,,,,,,,112571,623491,,,,
P63011,RAB3A_MOUSE,Rab3a,Ras-related protein Rab-3A,13,12,1.25E+07,1.12E+07,1.27E+07,3.34E+07,6.38E+06,1.49E+07,7.04E+06,3.07E+07,4.50E+06,1.44E+07,6.12E+06,3.72E+07,3.92E+06,5.58E+06,5.18E+06,2.55E+06,4.09E+06,2.99E+06,2.33E+06,2.09E+06,4.04E+06,,4.05E+06,,4.68E+06,5.38E+06,,1.20E+06,333968,817969,390357,2.25E+06,,,,,,344704,1.62E+06,,,457379,
Q8BHC1,RB39B_MOUSE,Rab39b,Ras-related protein Rab-39B,16,14,,129267,,540198,,413776,,445559,,418093,,482517,,356686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8CAM5,RAB36_MOUSE,Rab36,Ras-related protein Rab-36,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195385,,,,
Q6PHN9,RAB35_MOUSE,Rab35,Ras-related protein Rab-35,18,15,1.13E+06,668541,1.11E+06,2.60E+06,131845,3.24E+06,216409,2.24E+06,123107,3.18E+06,215794,2.26E+06,,1.47E+06,177975,408010,180975,,,384888,,,2.18E+06,,,1.15E+06,,453444,,1.33E+06,726795,,,,,241878,,118381,1.37E+06,,,,
Q64008,RAB34_MOUSE,Rab34,Ras-related protein Rab-34,5,5,,,,,,70797.4,,,,80550.9,,,,,,,,,,,,,123735,,,126642,,,57641.4,121072,60373.9,,,,,80424.4,,,105517,,,,
O35963,RB33B_MOUSE,Rab33b,Ras-related protein Rab-33B,8,7,7.10E+06,5.92E+06,705129,1.97E+07,3.48E+06,3.88E+06,1.55E+06,2.81E+07,2.96E+06,1.61E+07,1.58E+06,2.32E+07,2.56E+06,1.25E+07,999129,1.65E+06,1.11E+06,1.78E+06,2.06E+06,2.42E+06,1.15E+06,,839398,,996633,2.33E+06,,1.57E+06,,3.71E+06,602289,2.90E+06,802846,3.58E+06,,294912,,,676098,,,,
P97950,RB33A_MOUSE,Rab33a,Ras-related protein Rab-33A,4,4,,,,206763,,130787,,152062,,76195.8,,251050,,33241.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9CZE3,RAB32_MOUSE,Rab32,Ras-related protein Rab-32,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.19E+06,738104,,,,,,,,431605,,,1.05E+06,
Q921E2,RAB31_MOUSE,Rab31,Ras-related protein Rab-31,11,9,344081,180914,137653,370218,,1.05E+06,47403.4,442530,,1.30E+06,,429730,,947722,,,,936342,,28051.2,,395116,343118,,,769008,,260096,,252850,302462,,,,,,,336449,1.61E+06,,,,
Q923S9,RAB30_MOUSE,Rab30,Ras-related protein Rab-30,3,3,,,,161323,,,,263738,,,,219849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P59279,RAB2B_MOUSE,Rab2b,Ras-related protein Rab-2B,5,5,,,,151446,,197723,,210643,,255293,,164550,,189880,,,,,,,,,,,,,,,,,,,,,,,,,255240,,,,
P53994,RAB2A_MOUSE,Rab2a,Ras-related protein Rab-2A,21,12,3.04E+06,3.24E+06,3.06E+06,7.45E+06,246088,7.05E+06,1.58E+06,6.74E+06,197727,6.83E+06,1.43E+06,8.36E+06,,1.84E+06,1.02E+06,627813,621368,1.07E+06,440499,480364,680915,570882,7.40E+06,515657,767678,,,709867,444261,5.01E+06,2.81E+06,,,,3.27E+06,165644,,2.02E+06,1.44E+07,,7.15E+06,4.86E+06,
Q99KL7,RAB28_MOUSE,Rab28,Ras-related protein Rab-28,3,3,,,,,,,,,,,,,,,24895,,,,,,,,,,,,,,,,,,,,,,,155765,22525,,,,
Q99P58,RB27B_MOUSE,Rab27b,Ras-related protein Rab-27B,8,6,,,,159320,,298006,,143282,,359444,,134198,,53806.4,,,,,,,,,,,,,,,,,151212,,,,,,,,,,,,
Q9ERI2,RB27A_MOUSE,Rab27a,Ras-related protein Rab-27A,2,2,,,,,,47111.6,,,,,,,,,,,,,,,,,,,,,,,,174998,82260.1,,,,,,,,16185.6,,,,
Q504M8,RAB26_MOUSE,Rab26,Ras-related protein Rab-26,2,2,,,,,,12569,,,,23055.4,,,,8756.19,,9062.51,10926.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9WTL2,RAB25_MOUSE,Rab25,Ras-related protein Rab-25,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75647.1,,97434.8,,,,,,,,,,
P35290,RAB24_MOUSE,Rab24,Ras-related protein Rab-24,7,7,85260.5,,,234426,,213905,,225698,,191655,,200630,,51779.2,71558,,,,,,,,134640,,,,,,,200308,,,,,,,,,464783,,,258345,
Q9D4I9,Q9D4I9_MOUSE,Rab23,Ras-related protein Rab-23,9,9,262811,159958,293899,315045,,524640,,332116,,831352,,398163,,382842,,72469.3,,,,72689.3,,,,,,638014,,,,,149308,,,,,,,,258134,,,,
P35285,RB22A_MOUSE,Rab22a,Ras-related protein Rab-22A,8,8,,,,238985,,200221,109607,195734,,319447,,237478,,,,,,,,,,,,,,,,,,321626,128706,,,,,,,,409501,,,,
P35282,RAB21_MOUSE,Rab21,Ras-related protein Rab-21,8,8,148295,165196,,505001,,526417,74582,514644,,572103,151550,701613,,439341,134680,189712,171662,269017,,,,,698400,,211957,311754,,,182850,728783,397074,,,,,,,221449,876085,,398508,323269,
A0A494BA38,A0A494BA38_MOUSE,Rab1b,small monomeric GTPase,1,1,,,,,,,,,,,,,,,,,9603.21,35843.5,,,,,,,,,,,,,,,,,,28868.1,,,,,,,
Q9D1G1,RAB1B_MOUSE,Rab1b,Ras-related protein Rab-1B,11,11,678383,962380,569203,2.16E+06,,1.59E+06,601267,2.09E+06,,2.26E+06,624874,1.96E+06,,4.48E+06,499243,772996,682762,1.82E+06,382266,519941,528364,,1.49E+06,806645,1.39E+06,5.74E+06,,831138,2.59E+06,4.76E+06,1.41E+06,,,,756445,915359,455742,663910,2.26E+06,,6.42E+06,3.50E+06,
P62821,RAB1A_MOUSE,Rab1a,Ras-related protein Rab-1A,23,13,2.62E+06,2.57E+06,1.49E+06,5.91E+06,315886,3.90E+06,1.59E+06,5.65E+06,266614,6.40E+06,1.50E+06,6.43E+06,,6.60E+06,1.28E+06,1.78E+06,1.86E+06,3.15E+06,1.29E+06,1.27E+06,904744,,3.11E+06,1.64E+06,2.87E+06,1.03E+07,,1.68E+06,4.52E+06,1.03E+07,3.07E+06,,,,3.59E+06,1.60E+06,1.69E+06,1.72E+06,5.51E+06,,5.47E+06,3.70E+06,
P35293,RAB18_MOUSE,Rab18,Ras-related protein Rab-18,14,13,933562,668429,1.00E+06,1.77E+06,,2.29E+06,513613,1.73E+06,,3.40E+06,495609,2.19E+06,,2.99E+06,282539,639069,433050,308053,,420816,257464,1.14E+06,3.04E+06,318308,1.45E+06,2.69E+06,,866286,1.24E+06,5.81E+06,1.31E+06,,,,1.43E+06,1.05E+06,,1.25E+06,6.81E+06,,2.83E+06,2.30E+06,
P35292,RAB17_MOUSE,Rab17,Ras-related protein Rab-17,2,2,,,,,,,,,,,,,,,,,,50526.4,,,,,,96342.5,,,,,,749718,,,,,,66228.1,,,,,,,
Q3TYH2,Q3TYH2_MOUSE,Rab15,Ras-related protein Rab-15,10,10,178456,283792,,248689,,275909,,365621,,363275,,329130,,257900,359394,367594,,,,,,,,195165,,,,,,,,,,,,113554,,,,,,,
Q91V41,RAB14_MOUSE,Rab14,Ras-related protein Rab-14,21,20,1.61E+06,1.73E+06,1.65E+06,5.26E+06,,5.59E+06,1.41E+06,4.90E+06,,6.50E+06,1.48E+06,6.04E+06,,2.59E+06,1.19E+06,294938,539074,804098,631912,933472,718429,,2.60E+06,1.43E+06,2.65E+06,2.57E+06,,1.22E+06,2.13E+06,6.67E+06,2.26E+06,,,,1.31E+06,480929,532067,1.62E+06,5.61E+06,,1.64E+06,1.07E+06,
Q9DD03,RAB13_MOUSE,Rab13,Ras-related protein Rab-13,6,6,,,,,,152267,,163934,,162797,,183738,,,,315958,481904,472428,,,,1.21E+06,,,,,,,,,183945,,,,,,176806,,333905,,,,
P35283,RAB12_MOUSE,Rab12,Ras-related protein Rab-12,13,13,298342,245147,,402093,,566448,,353085,,548493,56724.6,428609,,363089,61044.9,,,,,,,,189033,,,,,,,,268049,,,,,,,,299179,,,,
A0A0N4SW73,A0A0N4SW73_MOUSE,Rab11fip5,Rab11 family-interacting protein 5,44,44,752307,717046,579538,154182,613674,280335,,131411,576855,341677,,190004,479240,705562,47760.2,1.31E+06,1.68E+06,1.13E+06,1.34E+06,1.08E+06,1.03E+06,1.69E+06,,1.07E+06,,287883,,720410,127442,211432,72260.8,492849,592049,534588,,1.17E+06,866024,,207133,,,,
Q8CHD8,RFIP3_MOUSE,Rab11fip3,Rab11 family-interacting protein 3,10,9,,,,,,,,,,,,,,,,,,,,,,,,143021,,,,,383084,453798,,,,,,190611,86837.9,,235497,,,,
G3XA57,RFIP2_MOUSE,Rab11fip2,Rab11 family-interacting protein 2,35,32,1.53E+06,1.71E+06,1.26E+06,173801,,467411,,196714,,607649,,264371,,690017,,986421,1.22E+06,,1.30E+06,887669,1.05E+06,1.24E+06,,216913,,,,,,,,,,,,265590,725786,,199518,,,,
E9Q8L9,E9Q8L9_MOUSE,Rab11fip1,Rab11 family-interacting protein 1,17,17,,,,,,,,,,,,,,,,,,,,,,1.17E+06,,127529,,,,,,,134384,,,,,150073,574094,,110411,,,,
P46638,RB11B_MOUSE,Rab11b,Ras-related protein Rab-11B,20,2,2.55E+06,2.02E+06,2.38E+06,5.01E+06,,3.13E+06,1.80E+06,4.37E+06,94915.1,3.44E+06,2.13E+06,6.39E+06,,1.66E+06,1.83E+06,640893,636332,1.00E+06,755449,703134,733133,594096,5.65E+06,1.09E+06,1.77E+06,793834,,1.07E+06,1.79E+06,1.06E+07,4.81E+06,549777,,1.83E+06,2.98E+06,514015,508292,4.33E+06,1.26E+07,,4.04E+06,2.21E+06,
P61027,RAB10_MOUSE,Rab10,Ras-related protein Rab-10,25,21,6.15E+06,5.68E+06,1.13E+07,2.08E+07,2.48E+06,1.91E+07,5.04E+06,2.04E+07,2.06E+06,2.20E+07,5.35E+06,2.14E+07,1.44E+06,9.30E+06,4.18E+06,2.93E+06,3.09E+06,1.95E+07,3.26E+06,2.22E+06,4.40E+06,898198,1.77E+07,1.63E+06,4.81E+06,4.82E+06,,4.18E+06,4.07E+06,2.39E+07,9.98E+06,1.57E+06,,3.86E+06,2.30E+07,4.13E+06,738766,4.35E+06,1.80E+07,1.40E+06,4.36E+07,1.95E+07,6.58E+06
Q80TM6,R3HD2_MOUSE,R3hdm2,R3H domain-containing protein 2,11,9,,79585,,38857.7,1.08E+06,,122644,60537.9,1.10E+06,,96100.8,75217.2,1.01E+06,,141117,315362,257796,,122041,128025,166736,,,,,,,,,,,,,,,,,,,,,,
E9Q9Q2,E9Q9Q2_MOUSE,R3hdm1,R3H domain containing 1,1,1,,,,,253237,,,,293712,,,,220686,,,34836.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8BJM3,R3HCL_MOUSE,R3hcc1l,Coiled-coil domain-containing protein R3HCC1L,2,2,,,,,,,49482.8,,,,,,45070,,51368.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9JMA2,TGT_MOUSE,Qtrt1,Queuine tRNA-ribosyltransferase catalytic subunit 1,1,1,,,,,,,,,,,,,,,,107520,78434,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3TMX7,QSOX2_MOUSE,Qsox2,Sulfhydryl oxidase 2,8,8,,,,,,96216.7,,,,69643,,47121.9,,,,,,,,,,,,,,,,,,,107601,,,,,,,,239175,,,,
Q8BND5,QSOX1_MOUSE,Qsox1,Sulfhydryl oxidase 1,7,7,,,,,,,,,,,,,,,,,,,,,,,,57352.4,,,,,,,127268,,,,,,,59480.6,111121,,,,
Q9CZN8,GATA_MOUSE,Qrsl1,"Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial",9,9,,,,55580.3,,40974.8,,52176.4,,58875.4,,81306.1,,163294,,30747.2,27539.2,31125.6,30093.1,,24557.7,,,,,187207,,,,103498,,,,,,37594.8,,,60919.9,,,,
A0A140LIY9,A0A140LIY9_MOUSE,Qrich2,Glutamine rich 2,15,15,,,,,,,,,,,,,,,,,,,,,,7.08E+06,,,,,,,,,,,,,,,466585,,,,,,
Q3UA37,QRIC1_MOUSE,Qrich1,Transcriptional regulator QRICH1,6,6,,,,,238362,,,,278185,,114382,,252673,,70276,,,143442,,,,,,,,,,,,,,,,,,,,251707,124243,,,,
Q91X91,NADC_MOUSE,Qprt,Nicotinate-nucleotide pyrophosphorylase [carboxylating],7,7,,,,,,,,,,,,,,,,,,,,,,,,367983,1.59E+06,,,,3.73E+06,1.97E+06,,,,,,521354,,,,,,,
Q8BH73,QPCTL_MOUSE,Qpctl,Glutaminyl-peptide cyclotransferase-like protein,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55791.7,,,,
Q9CYK2,QPCT_MOUSE,Qpct,Glutaminyl-peptide cyclotransferase,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64847.1,,,,
G3X8U3,QNG1_MOUSE,QNG1,Queuosine 5'-phosphate N-glycosylase/hydrolase,10,10,,,,38202.2,,96242.4,,34557.4,,114097,66412.4,46323.7,,86919.8,75465.5,,,,,,,,101240,,196009,,,,211529,300206,213782,,,,,164719,,584210,220242,,,,
Q9QYS9,QKI_MOUSE,Qki,KH domain-containing RNA-binding protein QKI,10,10,,254207,,203464,,214809,150074,169010,,318711,110234,279431,,396450,124099,1.21E+06,1.63E+06,1.91E+06,882652,766972,523917,1.82E+07,855295,817804,736698,,,1.70E+06,,199499,531456,,,,,839666,5.54E+06,221472,300758,,,,
Q8BVI4,DHPR_MOUSE,Qdpr,Dihydropteridine reductase,13,13,1.37E+06,1.46E+06,1.12E+06,2.85E+06,,1.25E+06,2.62E+06,2.46E+06,,1.26E+06,2.83E+06,3.20E+06,,2.50E+06,2.08E+06,828586,646589,2.16E+06,2.79E+06,2.70E+06,3.63E+06,,4.56E+06,3.02E+06,1.18E+07,6.16E+06,,6.16E+06,1.15E+07,9.44E+06,1.73E+06,,,,1.13E+06,818238,708583,3.03E+06,2.07E+06,,,,
Q8BML9,SYQ_MOUSE,Qars1,Glutamine--tRNA ligase,34,34,,,,89966.1,326647,406481,135557,64160.2,291783,258385,177680,76494.1,320664,256896,162975,131158,,145015,,,,141218,376534,,365691,,,,670840,320775,206892,,,,245487,270545,,1.24E+06,436381,,3.07E+06,1.44E+06,4.53E+06
Q61838,PZP_MOUSE,Pzp,Pregnancy zone protein,59,57,,,,,702061,,455537,,408337,,529337,,517335,,496155,110717,122366,562024,,,,,1.14E+06,329144,1.79E+06,,,,3.94E+06,446074,2.01E+07,,,4.45E+06,2.60E+07,813584,,538712,240901,,,,
Q3U4I7,PYRD2_MOUSE,Pyroxd2,Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 2,18,18,,,,,,,,,,,,,,,,,,208827,,,,,,1.13E+06,,,,,,466813,,,,,,887134,,,,,,,
Q8CHP5,PYM1_MOUSE,Pym1,Partner of Y14 and mago,11,11,,,,52924.2,,,,42509.8,,,86961.1,,,,61022.4,158744,166969,,187719,306476,160018,325039,,366890,,,,257257,,,,,,,,,783529,67147,,,139394,,
E9PUM3,E9PUM3_MOUSE,Pygm,"Alpha-1,4 glucan phosphorylase",71,56,2.74E+06,2.51E+06,3.18E+06,2.76E+06,7.02E+06,2.23E+06,2.77E+06,2.67E+06,7.08E+06,1.60E+06,3.05E+06,3.19E+06,7.21E+06,1.65E+06,2.73E+06,1.06E+06,1.17E+06,2.73E+06,359986,348913,739773,,3.60E+07,,1.61E+07,4.49E+06,,2.11E+06,1.36E+06,968135,6.14E+06,,,,2.51E+08,,,1.55E+06,863035,2.94E+06,1.63E+07,8.01E+06,3.79E+07
Q9WUB3,PYGM_MOUSE,Pygm,"Glycogen phosphorylase, muscle form",2,0,1.13E+06,971596,1.64E+06,1.58E+06,1.89E+06,525338,1.36E+06,1.36E+06,2.14E+06,122001,1.77E+06,1.63E+06,2.39E+06,,1.39E+06,,,,,,62296.6,,7.49E+06,,2.47E+06,,,,,164848,1.75E+06,,,,4.60E+07,,,616044,202728,,3.39E+06,1.98E+06,1.04E+07
Q9ET01,PYGL_MOUSE,Pygl,"Glycogen phosphorylase, liver form",20,20,,,,,,,,,,,,,,,,,,,,,,,374033,,,,,,,,146204,,,,,,,,,1.33E+07,6.60E+07,1.42E+07,2.42E+08
Q8CI94,PYGB_MOUSE,Pygb,"Glycogen phosphorylase, brain form",58,56,1.72E+06,2.15E+06,1.37E+06,2.35E+06,6.50E+06,2.33E+06,2.02E+06,2.01E+06,6.11E+06,1.80E+06,2.21E+06,2.51E+06,6.53E+06,1.18E+06,2.27E+06,719074,895830,676210,400760,358720,496418,385908,3.74E+06,,5.03E+06,1.34E+06,,679104,759538,466388,970443,1.04E+06,481625,1.45E+06,646274,394112,,1.20E+06,627268,,596966,758062,1.74E+06
Q9DCC4,P5CR3_MOUSE,Pycr3,Pyrroline-5-carboxylate reductase 3,3,3,,,,221708,,,243323,146264,,,232353,251396,,134156,293668,,,,,115054,128942,,221072,504323,1.14E+06,,,,2.07E+06,677334,215031,,,,,426957,,77783.7,74332.7,,,,
Q922Q4,P5CR2_MOUSE,Pycr2,Pyrroline-5-carboxylate reductase 2,15,13,530635,690596,523306,507013,,629434,,415720,,1.09E+06,,499833,,1.15E+06,,647138,561739,428136,2.02E+06,1.51E+06,1.53E+06,254182,465647,178262,,435327,,1.11E+06,,464274,290022,,,,,,609615,,988261,,,,
Q9EPB4,ASC_MOUSE,Pycard,Apoptosis-associated speck-like protein containing a CARD,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236570,167070,726042,,,,1.29E+06,146740,,175767,41051.1,,,,
A0A0J9YV30,A0A0J9YV30_MOUSE,Pxn,Paxillin,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25802.9,,,,,,,
Q8VI36,PAXI_MOUSE,Pxn,Paxillin,6,6,,,,,,,,,,,,,,,,,,,,,,,152825,151237,252925,,,,166244,,860730,,,,,75858.4,,191483,78505.8,,,,
Q9JJW0,PXMP4_MOUSE,Pxmp4,Peroxisomal membrane protein 4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25E+06,,,,,,,,,,,,,
P42925,PXMP2_MOUSE,Pxmp2,Peroxisomal membrane protein 2,3,3,,,,,,136838,,,,82496.1,,,,,,,,,,,,,,,,,,,,93129.2,,,,,,,,,,,,,
Q8BX57,PXK_MOUSE,Pxk,PX domain-containing protein kinase-like protein,5,5,,,,,,147827,,,,142953,,,,33806,20072.4,,,,,,,,,,,,,,,,60600,,,,,38968.7,,62803,,,,,
Q3UQ28,PXDN_MOUSE,Pxdn,Peroxidasin homolog,3,3,,,,,,13771.2,,,,25593,,,,,,,,,,,,28898.4,,,,,,,,,,,,,,25602.7,,,,,,,
Q4VA55,PWP3B_MOUSE,Pwwp3b,PWWP domain-containing DNA repair factor 3B,6,6,,,,,,,,,,,,,,,,,,,,,,1.73E+06,,,,,,,,,,,,,,,,114791,47930.1,,,,
Q6DID5,PWP3A_MOUSE,Pwwp3a,PWWP domain-containing DNA repair factor 3A,12,12,164787,83212.2,,,,228325,,,,263225,,,,777495,,347412,309562,434829,,,,5.06E+06,,,,,,,,,,,,,,,,224576,202308,,,,
Q69Z61,PWP2A_MOUSE,Pwwp2a,PWWP domain-containing protein 2A,2,2,,,,,,8624.2,,,,19023.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8BU03,PWP2_MOUSE,Pwp2,Periodic tryptophan protein 2 homolog,5,5,,,,,,74244.9,,,,124475,,,,,,,,,,,,123517,,,,,,,,,,,,,,85735.2,,,,,,,
Q99LL5,PWP1_MOUSE,Pwp1,Periodic tryptophan protein 1 homolog,1,1,,,,,,,,,,23800.2,,,,,,,,,,,,,,,,,,,,,,,,,,26592.6,,,,,,,
Q8K094,Q8K094_MOUSE,Pvr,Poliovirus receptor,3,3,,,,,,30009.8,,,,61586.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158099,,,,
P32848,PRVA_MOUSE,Pvalb,Parvalbumin alpha,13,13,1.07E+06,751866,822544,2.10E+06,,,5.23E+06,1.58E+06,,,4.76E+06,2.01E+06,,,4.31E+06,452126,623398,520477,,,,,6.83E+06,,1.19E+07,2.09E+06,,461084,531174,329045,520712,,,,9.13E+07,719450,,,,,,,
A2ADA5,PUSL1_MOUSE,Pusl1,tRNA pseudouridine synthase-like 1,1,1,,,,,,,,,,14813.6,,,,27594.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q91VU7,PUS7_MOUSE,Pus7,Pseudouridylate synthase 7 homolog,2,2,,,,,27505,,,,,,,,,,27958.6,,,,,,,,,,70202.6,,,,,,,,,,,,,181805,36464.2,,,121189,1.68E+06
Q9D3U0,PUS10_MOUSE,Pus10,tRNA pseudouridine synthase Pus10,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227695,36319.2,,,,
